"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Side"
"No","3","female",18,2,0,18,"S","Miss",NA,NA
"Yes","3","female",14,1,0,11.2417,"C","Miss",NA,NA
"No","3","female",40,1,0,9.475,"S","Mrs",NA,NA
"No","2","female",27,1,0,21,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"C","Mr",NA,NA
"Yes","2","female",3,1,2,41.5792,"C","Miss",NA,NA
"Yes","3","female",19,0,0,7.8792,"Q","Miss",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,1,0,15.5,"Q","Mr",NA,NA
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","3","male",30,2,0,21.6792,"C","Mr",NA,NA
"No","3","female",18,1,0,17.8,"S","Mrs",NA,NA
"No","3","male",7,4,1,39.6875,"S","Master",NA,NA
"No","3","male",21,0,0,7.8,"S","Mr",NA,NA
"Yes","1","female",49,1,0,76.7292,"C","Mrs","D","Port"
"Yes","2","female",29,1,0,26,"S","Mrs",NA,NA
"No","1","male",65,0,1,61.9792,"C","Mr","B","Starboard"
"Yes","1","male",30,0,0,35.5,"S","Mr","C","Starboard"
"Yes","2","female",21,0,0,10.5,"S","Miss",NA,NA
"No","3","male",28.5,0,0,7.2292,"C","Mr",NA,NA
"Yes","2","female",5,1,2,27.75,"S","Miss",NA,NA
"No","3","male",11,5,2,46.9,"S","Master",NA,NA
"No","3","male",22,0,0,7.2292,"C","Mr",NA,NA
"Yes","1","female",38,0,0,80,NA,"Miss","B","Starboard"
"No","1","male",45,1,0,83.475,"S","Mr","C","Port"
"No","3","male",4,3,2,27.9,"S","Master",NA,NA
"No","1","male",30,0,0,27.7208,"C","Mr",NA,NA
"Yes","3","male",3.5,1,1,15.2458,"C","Master",NA,NA
"Yes","2","female",29,0,0,10.5,"S","Mrs","F","Port"
"No","3","male",19,0,0,8.1583,"S","Mr",NA,NA
"Yes","3","female",17,4,2,7.925,"S","Miss",NA,NA
"No","3","male",26,2,0,8.6625,"S","Mr",NA,NA
"No","2","male",32,0,0,10.5,"S","Mr",NA,NA
"No","3","female",16,5,2,46.9,"S","Miss",NA,NA
"No","2","male",21,0,0,73.5,"S","Mr",NA,NA
"No","3","male",26,1,0,14.4542,"C","Mr",NA,NA
"Yes","3","male",32,0,0,56.4958,"S","Mr",NA,NA
"No","3","male",25,0,0,7.65,"S","Mr","F","Port"
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","2","male",0.83,0,2,29,"S","Master",NA,NA
"Yes","3","female",30,0,0,12.475,"S","Miss",NA,NA
"No","3","male",22,0,0,9,"S","Mr",NA,NA
"Yes","3","male",29,0,0,9.5,"S","Mr",NA,NA
"Yes","3","female",21,0,0,7.7875,"Q","Miss",NA,NA
"No","1","male",28,0,0,47.1,"S","Mr",NA,NA
"Yes","2","female",17,0,0,10.5,"S","Miss",NA,NA
"Yes","3","female",33,3,0,15.85,"S","Mrs",NA,NA
"No","3","male",16,1,3,34.375,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","1","female",23,3,2,263,"S","Miss","C","Port"
"No","3","male",24,0,0,8.05,"S","Mr",NA,NA
"No","3","male",29,0,0,8.05,"S","Mr",NA,NA
"No","3","male",20,0,0,7.8542,"S","Mr",NA,NA
"No","1","male",46,1,0,61.175,"S","Mr","E","Port"
"No","3","male",26,1,2,20.575,"S","Mr",NA,NA
"No","3","male",59,0,0,7.25,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","1","male",71,0,0,34.6542,"C","Mr","A","Port"
"Yes","1","male",23,0,1,63.3583,"C","Mr","D","Starboard"
"Yes","2","female",34,0,1,23,"S","Mrs",NA,NA
"No","2","male",34,1,0,26,"S","Mr",NA,NA
"No","3","female",28,0,0,7.8958,"S","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","1","male",21,0,1,77.2875,"S","Mr","D","Starboard"
"No","3","male",33,0,0,8.6542,"S","Mr",NA,NA
"No","3","male",37,2,0,7.925,"S","Mr",NA,NA
"No","3","male",28,0,0,7.8958,"S","Mr",NA,NA
"Yes","3","female",21,0,0,7.65,"S","Miss",NA,NA
"Yes","3","male",30,0,0,7.775,"S","Mr",NA,NA
"No","3","male",38,0,0,7.8958,"S","Mr",NA,NA
"Yes","3","female",21,1,0,24.15,"Q","Miss",NA,NA
"No","1","male",47,0,0,52,"S","Mr","C","Starboard"
"No","3","female",14.5,1,0,14.4542,"C","Miss",NA,NA
"No","3","male",22,0,0,8.05,"S","Mr",NA,NA
"No","3","female",20,1,0,9.825,"S","Miss",NA,NA
"No","3","female",17,0,0,14.4583,"C","Miss",NA,NA
"No","3","male",21,0,0,7.925,"S","Mr",NA,NA
"No","3","male",70.5,0,0,7.75,"Q","Mr",NA,NA
"No","2","male",29,1,0,21,"S","Mr",NA,NA
"No","1","male",24,0,1,247.5208,"C","Mr","B","Starboard"
"No","3","female",2,4,2,31.275,"S","Miss",NA,NA
"No","2","male",21,2,0,73.5,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","2","male",32.5,1,0,30.0708,"C","Mr",NA,NA
"Yes","2","female",32.5,0,0,13,"S","Miss","E","Port"
"No","1","male",54,0,1,77.2875,"S","Mr","D","Starboard"
"Yes","3","male",12,1,0,11.2417,"C","Master",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"Yes","3","male",24,0,0,7.1417,"S","Mr",NA,NA
"Yes","3","female",21,1,1,22.3583,"C","Miss","F","Port"
"No","3","male",45,0,0,6.975,"S","Mr",NA,NA
"No","3","male",33,0,0,7.8958,"C","Mr",NA,NA
"No","3","male",20,0,0,7.05,"S","Mr",NA,NA
"No","3","female",47,1,0,14.5,"S","Mrs",NA,NA
"Yes","2","female",29,1,0,26,"S","Mrs",NA,NA
"No","2","male",25,0,0,13,"S","Mr",NA,NA
"No","2","male",23,0,0,15.0458,"C","Mr",NA,NA
"Yes","1","female",19,0,2,26.2833,"S","Miss","D","Port"
"No","1","male",37,1,0,53.1,"S","Mr","C","Port"
"No","3","male",16,0,0,9.2167,"S","Mr",NA,NA
"No","1","male",24,0,0,79.2,"C","Mr","B","Starboard"
"No","3","female",35,0,2,15.2458,"C","Mrs",NA,NA
"Yes","3","female",22,0,0,7.75,"S","Miss",NA,NA
"Yes","3","female",24,1,0,15.85,"S","Mrs",NA,NA
"No","3","male",19,0,0,6.75,"Q","Mr",NA,NA
"No","2","male",18,0,0,11.5,"S","Mr",NA,NA
"No","2","male",19,1,1,36.75,"S","Mr",NA,NA
"Yes","3","male",27,0,0,7.7958,"S","Mr",NA,NA
"No","3","female",9,2,2,34.375,"S","Miss",NA,NA
"No","2","male",36.5,0,2,26,"S","Mr","F","Starboard"
"No","2","male",42,0,0,13,"S","Officer",NA,NA
"No","2","male",51,0,0,12.525,"S","Officer",NA,NA
"Yes","1","female",22,1,0,66.6,"S","Mrs","C","Starboard"
"No","3","male",55.5,0,0,8.05,"S","Mr",NA,NA
"No","3","male",40.5,0,2,14.5,"S","Mr",NA,NA
"No","3","male",30,0,0,7.3125,"S","Mr",NA,NA
"No","1","male",51,0,1,61.3792,"C","Mr",NA,NA
"Yes","3","female",16,0,0,7.7333,"Q","Miss",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,0,0,8.6625,"S","Mr",NA,NA
"No","3","male",3.5,8,2,69.55,"S","Master",NA,NA
"No","3","male",44,0,1,16.1,"S","Mr",NA,NA
"Yes","2","female",40,0,0,15.75,"S","Mrs",NA,NA
"No","3","male",26,0,0,7.775,"S","Mr",NA,NA
"No","3","male",17,0,0,8.6625,"S","Mr",NA,NA
"No","3","male",1,4,1,39.6875,"S","Master",NA,NA
"Yes","3","male",9,0,2,20.525,"S","Master",NA,NA
"Yes","1","female",35,0,1,55,"S","Mrs","E","Port"
"No","3","female",45,1,4,27.9,"S","Mrs",NA,NA
"No","1","male",30,0,0,25.925,"S","Mr",NA,NA
"No","3","male",28,0,0,56.4958,"S","Mr",NA,NA
"No","1","male",61,0,0,33.5,"S","Mr","B","Port"
"No","3","male",4,4,1,29.125,"Q","Master",NA,NA
"Yes","3","female",1,1,1,11.1333,"S","Miss",NA,NA
"No","3","male",21,0,0,7.925,"S","Mr",NA,NA
"No","1","male",56,0,0,30.6958,"C","Mr","A","Port"
"No","3","male",18,1,1,7.8542,"S","Mr",NA,NA
"No","3","male",3.5,3,1,25.4667,"S","Master",NA,NA
"No","1","female",50,0,0,28.7125,"C","Miss","C","Port"
"No","2","male",30,0,0,13,"S","Mr",NA,NA
"No","3","male",36,0,0,0,"S","Mr",NA,NA
"No","3","female",21,8,2,69.55,"S","Miss",NA,NA
"No","2","male",30,0,0,15.05,"C","Mr",NA,NA
"No","3","male",9,4,2,31.3875,"S","Master",NA,NA
"Yes","2","male",1,2,1,39,"S","Master","F","Starboard"
"Yes","3","female",4,0,2,22.025,"S","Miss",NA,NA
"No","1","male",30,0,0,50,"S","Mr","A","Starboard"
"Yes","3","female",35,1,0,15.5,"Q","Mrs",NA,NA
"Yes","1","male",45,0,0,26.55,"S","Mr",NA,NA
"No","3","male",40,1,1,15.5,"Q","Mr",NA,NA
"No","3","male",36,0,0,7.8958,"S","Mr",NA,NA
"Yes","2","female",32,0,0,13,"S","Mrs",NA,NA
"No","2","male",19,0,0,13,"S","Mr",NA,NA
"Yes","3","female",19,1,0,7.8542,"S","Miss",NA,NA
"Yes","2","male",3,1,1,26,"S","Master","F","Starboard"
"Yes","1","female",44,0,0,27.7208,"C","Mrs","B","Starboard"
"Yes","1","female",58,0,0,146.5208,"C","Miss","B","Starboard"
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"No","3","male",42,0,1,8.4042,"S","Mr",NA,NA
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","2","female",24,0,0,13,"S","Miss",NA,NA
"No","3","male",28,0,0,9.5,"S","Mr",NA,NA
"No","3","male",30,8,2,69.55,"S","Mr",NA,NA
"No","3","male",34,0,0,6.4958,"S","Mr",NA,NA
"No","3","male",45.5,0,0,7.225,"C","Mr",NA,NA
"Yes","3","male",18,0,0,8.05,"S","Mr",NA,NA
"No","3","female",2,0,1,10.4625,"S","Miss","G","Starboard"
"No","3","male",32,1,0,15.85,"S","Mr",NA,NA
"Yes","3","male",26,0,0,18.7875,"C","Mr",NA,NA
"Yes","3","female",16,0,0,7.75,"Q","Miss",NA,NA
"Yes","1","male",40,0,0,31,"C","Mr","A","Port"
"No","3","male",24,0,0,7.05,"S","Mr",NA,NA
"Yes","2","female",35,0,0,21,"S","Miss",NA,NA
"No","3","male",22,0,0,7.25,"S","Mr",NA,NA
"No","2","male",30,0,0,13,"S","Mr",NA,NA
"No","3","male",30,1,0,7.75,"Q","Mr",NA,NA
"Yes","1","female",31,1,0,113.275,"C","Miss","D","Starboard"
"Yes","3","female",27,0,0,7.925,"S","Miss",NA,NA
"No","2","male",42,1,0,27,"S","Mr",NA,NA
"Yes","1","female",32,0,0,76.2917,"C","Miss","D","Port"
"No","2","male",30,0,0,10.5,"S","Mr",NA,NA
"Yes","3","male",16,0,0,8.05,"S","Mr",NA,NA
"No","2","male",27,0,0,13,"S","Mr",NA,NA
"No","3","male",51,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","male",38,1,0,90,"S","Mr","C","Port"
"No","3","male",22,0,0,9.35,"S","Mr",NA,NA
"Yes","2","male",19,0,0,10.5,"S","Mr",NA,NA
"No","3","male",20.5,0,0,7.25,"S","Mr",NA,NA
"No","2","male",18,0,0,13,"S","Mr",NA,NA
"No","3","female",21,3,1,25.4667,"S","Miss",NA,NA
"Yes","1","female",35,1,0,83.475,"S","Mrs","C","Port"
"No","3","male",29,0,0,7.775,"S","Mr",NA,NA
"No","2","male",59,0,0,13.5,"S","Mr",NA,NA
"Yes","3","female",5,4,2,31.3875,"S","Miss",NA,NA
"No","2","male",24,0,0,10.5,"S","Mr",NA,NA
"No","3","female",21,0,0,7.55,"S","Miss",NA,NA
"No","2","male",44,1,0,26,"S","Mr",NA,NA
"Yes","2","female",8,0,2,26.25,"S","Miss",NA,NA
"No","2","male",19,0,0,10.5,"S","Mr",NA,NA
"No","2","male",33,0,0,12.275,"S","Mr",NA,NA
"No","3","female",21,1,0,14.4542,"C","Miss",NA,NA
"Yes","3","female",21,1,0,15.5,"Q","Miss",NA,NA
"No","2","male",29,0,0,10.5,"S","Mr",NA,NA
"No","3","male",22,0,0,7.125,"S","Mr",NA,NA
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"No","1","male",44,2,0,90,"Q","Officer","C","Starboard"
"No","3","female",25,0,0,7.775,"S","Miss",NA,NA
"Yes","2","female",24,0,2,14.5,"S","Mrs",NA,NA
"Yes","1","male",37,1,1,52.5542,"S","Mr","D","Port"
"No","2","male",54,1,0,26,"S","Officer",NA,NA
"No","3","male",30,0,0,7.25,"S","Mr",NA,NA
"No","3","female",29,1,1,10.4625,"S","Mrs","G","Starboard"
"No","1","male",62,0,0,26.55,"S","Mr","C","Port"
"No","3","male",30,1,0,16.1,"S","Mr",NA,NA
"No","3","female",41,0,2,20.2125,"S","Mrs",NA,NA
"Yes","3","female",29,0,2,15.2458,"C","Mrs",NA,NA
"Yes","1","female",35,0,0,79.2,"C","Mrs",NA,NA
"Yes","1","female",30,0,0,86.5,"S","Miss","B","Port"
"Yes","1","female",35,0,0,512.3292,"C","Miss",NA,NA
"Yes","2","female",50,0,1,26,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"Yes","3","male",3,4,2,31.3875,"S","Master",NA,NA
"No","1","male",52,1,1,79.65,"S","Mr","E","Port"
"No","1","male",40,0,0,0,"S","Mr","B","Starboard"
"No","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","2","male",36,0,0,10.5,"S","Mr",NA,NA
"No","3","male",16,4,1,39.6875,"S","Mr",NA,NA
"Yes","3","male",25,1,0,7.775,"S","Mr",NA,NA
"Yes","1","female",58,0,1,153.4625,"S","Mrs","C","Port"
"Yes","1","female",35,0,0,135.6333,"S","Miss","C","Port"
"No","1","male",30,0,0,31,"S","Mr",NA,NA
"Yes","3","male",25,0,0,0,"S","Mr",NA,NA
"Yes","2","female",41,0,1,19.5,"S","Mrs",NA,NA
"No","1","male",37,0,1,29.7,"C","Mr","C","Starboard"
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"Yes","1","female",63,1,0,77.9583,"S","Miss","D","Port"
"No","3","female",45,0,0,7.75,"S","Miss",NA,NA
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"No","3","male",7,4,1,29.125,"Q","Master",NA,NA
"Yes","3","female",35,1,1,20.25,"S","Mrs",NA,NA
"No","3","male",65,0,0,7.75,"Q","Mr",NA,NA
"No","3","male",28,0,0,7.8542,"S","Mr",NA,NA
"No","3","male",16,0,0,9.5,"S","Mr",NA,NA
"Yes","3","male",19,0,0,8.05,"S","Mr",NA,NA
"No","1","male",30,0,0,26,"S","Mr","A","Port"
"No","3","male",33,0,0,8.6625,"C","Mr",NA,NA
"Yes","3","male",30,0,0,9.5,"S","Mr",NA,NA
"No","3","male",22,0,0,7.8958,"S","Mr",NA,NA
"Yes","2","male",42,0,0,13,"S","Mr",NA,NA
"Yes","3","female",22,0,0,7.75,"Q","Miss",NA,NA
"Yes","1","female",26,0,0,78.85,"S","Miss",NA,NA
"Yes","1","female",19,1,0,91.0792,"C","Mrs","B","Port"
"No","2","male",36,0,0,12.875,"C","Mr","D",NA
"No","3","female",24,0,0,8.85,"S","Miss",NA,NA
"No","3","male",24,0,0,7.8958,"S","Mr",NA,NA
"No","1","male",30,0,0,27.7208,"C","Mr",NA,NA
"No","3","male",23.5,0,0,7.2292,"C","Mr",NA,NA
"No","1","female",2,1,2,151.55,"S","Miss","C","Starboard"
"Yes","1","male",30,0,0,30.5,"S","Mr","C","Starboard"
"Yes","1","female",50,0,1,247.5208,"C","Mrs","B","Starboard"
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"Yes","3","male",30,2,0,23.25,"Q","Mr",NA,NA
"No","3","male",19,0,0,0,"S","Mr",NA,NA
"Yes","2","female",21,0,0,12.35,"Q","Miss","E","Port"
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","1","male",0.92,1,2,151.55,"S","Master","C","Starboard"
"Yes","1","female",21,0,0,110.8833,"C","Miss",NA,NA
"Yes","1","female",17,1,0,108.9,"C","Mrs","C","Port"
"No","2","male",30,1,0,24,"C","Mr",NA,NA
"Yes","1","female",30,0,0,56.9292,"C","Miss","E","Starboard"
"Yes","1","female",24,0,0,83.1583,"C","Miss","C","Starboard"
"Yes","1","female",18,2,2,262.375,"C","Miss","B","Starboard"
"No","2","female",26,1,1,26,"S","Mrs",NA,NA
"No","3","male",28,0,0,7.8958,"S","Mr",NA,NA
"No","2","male",43,1,1,26.25,"S","Mr",NA,NA
"Yes","3","female",26,0,0,7.8542,"S","Miss",NA,NA
"Yes","2","female",24,1,0,26,"S","Mrs",NA,NA
"No","2","male",54,0,0,14,"S","Officer",NA,NA
"Yes","1","female",31,0,2,164.8667,"S","Miss","C","Port"
"Yes","1","female",40,1,1,134.5,"C","Mrs","E","Starboard"
"No","3","male",22,0,0,7.25,"S","Mr",NA,NA
"No","3","male",27,0,0,7.8958,"S","Mr",NA,NA
"Yes","2","female",30,0,0,12.35,"Q","Miss",NA,NA
"Yes","2","female",22,1,1,29,"S","Mrs",NA,NA
"No","3","male",30,8,2,69.55,"S","Mr",NA,NA
"Yes","1","female",36,0,0,135.6333,"C","Miss","C","Starboard"
"No","3","male",61,0,0,6.2375,"S","Mr",NA,NA
"Yes","2","female",36,0,0,13,"S","Mrs","D",NA
"Yes","3","female",31,1,1,20.525,"S","Mrs",NA,NA
"Yes","1","female",16,0,1,57.9792,"C","Miss","B","Starboard"
"Yes","3","female",21,2,0,23.25,"Q","Miss",NA,NA
"No","1","male",45.5,0,0,28.5,"S","Mr","C","Starboard"
"No","1","male",38,0,1,153.4625,"S","Mr","C","Port"
"No","3","male",16,2,0,18,"S","Mr",NA,NA
"Yes","1","female",35,1,0,133.65,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","1","male",29,1,0,66.6,"S","Mr","C","Starboard"
"Yes","1","female",41,0,0,134.5,"C","Miss","E","Starboard"
"Yes","3","male",45,0,0,8.05,"S","Mr",NA,NA
"No","1","male",45,0,0,35.5,"S","Mr","T",NA
"Yes","2","male",2,1,1,26,"S","Master","F","Starboard"
"Yes","1","female",24,3,2,263,"S","Miss","C","Port"
"No","2","male",28,0,0,13,"S","Mr",NA,NA
"No","2","male",25,0,0,13,"S","Mr",NA,NA
"No","2","male",36,0,0,13,"S","Mr",NA,NA
"Yes","2","female",24,0,0,13,"S","Miss","F","Port"
"Yes","2","female",40,0,0,13,"S","Miss",NA,NA
"Yes","3","female",35,1,0,16.1,"S","Mrs",NA,NA
"Yes","3","male",3,1,1,15.9,"S","Master",NA,NA
"No","3","male",42,0,0,8.6625,"S","Mr",NA,NA
"No","3","male",23,0,0,9.225,"S","Mr",NA,NA
"No","1","male",30,0,0,35,"S","Mr","C","Starboard"
"No","3","male",15,1,1,7.2292,"C","Mr",NA,NA
"No","3","male",25,1,0,17.8,"S","Mr",NA,NA
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"No","3","male",28,0,0,9.5,"S","Mr",NA,NA
"Yes","1","female",22,0,1,55,"S","Miss","E","Port"
"No","2","female",38,0,0,13,"S","Miss",NA,NA
"Yes","3","female",21,0,0,7.8792,"Q","Miss",NA,NA
"Yes","3","female",21,0,0,7.8792,"Q","Miss",NA,NA
"No","3","male",40,1,4,27.9,"S","Mr",NA,NA
"No","2","male",29,1,0,27.7208,"C","Mr",NA,NA
"No","3","female",45,0,1,14.4542,"C","Mrs",NA,NA
"No","3","male",35,0,0,7.05,"S","Mr",NA,NA
"No","3","male",30,1,0,15.5,"Q","Mr",NA,NA
"No","3","male",30,0,0,7.25,"S","Mr",NA,NA
"Yes","1","female",60,1,0,75.25,"C","Mrs","D","Port"
"Yes","3","female",35,0,0,7.2292,"C","Mrs",NA,NA
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"Yes","1","female",24,0,0,69.3,"C","Mrs","B","Port"
"Yes","1","male",25,1,0,55.4417,"C","Mr","E","Starboard"
"No","3","male",18,1,0,6.4958,"S","Mr",NA,NA
"No","3","male",19,0,0,8.05,"S","Mr",NA,NA
"No","1","male",22,0,0,135.6333,"C","Mr",NA,NA
"No","3","female",3,3,1,21.075,"S","Miss",NA,NA
"Yes","1","female",35,1,0,82.1708,"C","Mrs",NA,NA
"Yes","3","female",22,0,0,7.25,"S","Miss",NA,NA
"No","1","male",27,0,2,211.5,"C","Mr","C","Starboard"
"No","3","male",20,0,0,4.0125,"C","Mr",NA,NA
"No","3","male",19,0,0,7.775,"S","Mr",NA,NA
"Yes","1","female",42,0,0,227.525,"C","Miss",NA,NA
"Yes","3","female",1,0,2,15.7417,"C","Miss",NA,NA
"No","3","male",32,0,0,7.925,"S","Mr",NA,NA
"Yes","1","female",35,1,0,52,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","2","male",18,0,0,73.5,"S","Mr",NA,NA
"No","3","male",1,5,2,46.9,"S","Master",NA,NA
"Yes","2","female",36,0,0,13,"S","Miss",NA,NA
"No","3","male",30,0,0,7.7292,"Q","Mr",NA,NA
"Yes","2","female",17,0,0,12,"C","Miss",NA,NA
"Yes","1","male",36,1,2,120,"S","Mr","B","Starboard"
"Yes","3","male",21,0,0,7.7958,"S","Mr",NA,NA
"No","3","male",28,2,0,7.925,"S","Mr",NA,NA
"Yes","1","female",23,1,0,113.275,"C","Miss","D","Starboard"
"Yes","3","female",24,0,2,16.7,"S","Mrs","G","Starboard"
"No","3","male",22,0,0,7.7958,"S","Mr",NA,NA
"No","3","female",31,0,0,7.8542,"S","Miss",NA,NA
"No","2","male",46,0,0,26,"S","Mr",NA,NA
"No","2","male",23,0,0,10.5,"S","Officer",NA,NA
"Yes","2","female",28,0,0,12.65,"S","Mrs",NA,NA
"Yes","3","male",39,0,0,7.925,"S","Mr",NA,NA
"No","3","male",26,0,0,8.05,"S","Mr",NA,NA
"No","3","female",21,1,0,9.825,"S","Miss",NA,NA
"No","3","male",28,1,0,15.85,"S","Mr",NA,NA
"No","3","female",20,0,0,8.6625,"S","Miss",NA,NA
"No","2","male",34,1,0,21,"S","Mr",NA,NA
"No","3","male",51,0,0,7.75,"S","Mr",NA,NA
"Yes","2","male",3,1,1,18.75,"S","Master",NA,NA
"No","3","male",21,0,0,7.775,"S","Mr",NA,NA
"No","3","female",21,3,1,25.4667,"S","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,6.8583,"Q","Mr",NA,NA
"Yes","1","female",33,1,0,90,"Q","Miss","C","Starboard"
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"Yes","3","male",44,0,0,7.925,"S","Mr",NA,NA
"No","3","female",35,0,0,8.05,"S","Mrs",NA,NA
"Yes","2","female",34,1,1,32.5,"S","Mrs",NA,NA
"Yes","2","female",18,0,2,13,"S","Miss",NA,NA
"No","2","male",30,0,0,13,"S","Mr",NA,NA
"No","3","female",10,0,2,24.15,"S","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"C","Mr",NA,NA
"No","3","male",21,0,0,7.7333,"Q","Mr",NA,NA
"No","3","male",29,0,0,7.875,"S","Mr",NA,NA
"No","3","female",28,1,1,14.4,"S","Mrs",NA,NA
"No","3","male",18,1,1,20.2125,"S","Mr",NA,NA
"No","3","male",30,0,0,7.25,"S","Mr",NA,NA
"Yes","2","female",28,1,0,26,"S","Mrs",NA,NA
"Yes","2","female",19,0,0,26,"S","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"Yes","3","male",32,0,0,8.05,"S","Mr","E","Starboard"
"Yes","1","male",28,0,0,26.55,"S","Mr","C","Starboard"
"Yes","3","female",35,1,0,16.1,"S","Mrs",NA,NA
"Yes","2","female",42,1,0,26,"S","Mrs",NA,NA
"No","3","male",17,0,0,7.125,"S","Mr",NA,NA
"No","1","male",50,1,0,55.9,"S","Mr","E","Starboard"
"Yes","1","female",14,1,2,120,"S","Miss","B","Starboard"
"No","3","female",21,2,2,34.375,"S","Miss",NA,NA
"Yes","2","female",24,2,3,18.75,"S","Mrs",NA,NA
"No","1","male",64,1,4,263,"S","Mr","C","Port"
"No","2","male",31,0,0,10.5,"S","Mr",NA,NA
"Yes","2","female",45,1,1,26.25,"S","Mrs",NA,NA
"No","3","male",20,0,0,9.5,"S","Mr",NA,NA
"No","3","male",25,1,0,7.775,"S","Mr",NA,NA
"Yes","2","female",28,0,0,13,"S","Miss",NA,NA
"Yes","3","male",30,0,0,8.1125,"S","Mr",NA,NA
